Package,Built
acepack,3.4.2
ash,3.4.1
assertthat,3.4.2
backports,3.4.3
base64enc,3.4.1
BH,3.4.1
bindr,3.4.2
bindrcpp,3.4.2
bitops,3.4.1
blogdown,3.4.3
bookdown,3.4.3
broom,3.4.2
callr,3.4.2
caTools,3.4.2
cellranger,3.4.2
checkmate,3.4.2
cli,3.4.2
clipr,3.4.2
clisymbols,3.4.3
colorspace,3.4.2
crayon,3.4.2
crosstalk,3.4.2
curl,3.4.3
data.table,3.4.2
DBI,3.4.3
dbplyr,3.4.3
debugme,3.4.3
desc,3.4.3
devtools,3.4.3
dichromat,3.4.1
digest,3.4.3
dplyr,3.4.2
enc,3.4.3
evaluate,3.4.2
extrafont,3.4.1
extrafontdb,3.4.1
forcats,3.4.2
Formula,3.4.1
fs,3.4.3
fuzzyjoin,3.4.3
geosphere,3.4.3
GGally,3.4.2
ggalt,3.4.2
ggplot2,3.4.2
gh,3.4.2
git2r,3.4.3
glue,3.4.3
gridExtra,3.4.2
gtable,3.4.2
haven,3.4.3
here,3.4.3
hexbin,3.4.3
highlite,3.4.2
highr,3.4.2
Hmisc,3.4.3
hms,3.4.2
htmlTable,3.4.3
htmltools,3.4.2
htmlwidgets,3.4.3
httpuv,3.4.2
httr,3.4.2
ini,3.4.3
installr,3.4.3
jsonlite,3.4.2
knitr,3.4.2
labeling,3.4.1
latticeExtra,3.4.2
lazyeval,3.4.2
lubridate,3.4.2
magrittr,3.4.2
maps,3.4.2
markdown,3.4.2
MASS,3.4.3
Matrix,3.4.3
mgcv,3.4.3
mime,3.4.1
mnormt,3.4.1
modelr,3.4.2
munsell,3.4.2
openssl,3.4.2
pander,3.4.3
pillar,3.4.3
pkgconfig,3.4.2
plogr,3.4.2
plotly,3.4.2
plyr,3.4.2
praise,3.4.3
prettyunits,3.4.2
progress,3.4.2
proj4,3.4.1
psych,3.4.2
purrr,3.4.2
R6,3.4.2
RColorBrewer,3.4.1
Rcpp,3.4.3
readr,3.4.2
readxl,3.4.2
rematch,3.4.2
rematch2,3.4.3
reprex,3.4.2
reshape,3.4.2
reshape2,3.4.3
rex,3.4.3
rlang,3.4.3
rmarkdown,3.4.2
RMySQL,3.4.3
rpart,3.4.3
rprojroot,3.4.3
rstudioapi,3.4.2
Rttf2pt1,3.4.3
rvest,3.4.2
scales,3.4.2
selectr,3.4.2
servr,3.4.3
shiny,3.4.2
skimr,3.4.3
sourcetools,3.4.2
sp,3.4.3
stringdist,3.4.3
stringi,3.4.2
stringr,3.4.2
styler,3.4.3
testthat,3.4.3
tibble,3.4.3
tidyr,3.4.3
tidyselect,3.4.2
tidyverse,3.4.3
tint,3.4.3
tufte,3.4.2
tufterhandout,3.4.2
usethis,3.4.3
utf8,3.4.3
viridis,3.4.3
viridisLite,3.4.2
whisker,3.4.2
withr,3.4.3
xfun,3.4.3
xml2,3.4.3
xtable,3.4.2
yaml,3.4.3
